year,BX.TRF.PWKR.DT.GD.ZS
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,0.200892836063351
1979,0.237781872552599
1980,0.162152347643988
1981,0.132271555406018
1982,0.0869301657409477
1983,0.328480093886367
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,11.1017545288707
2004,6.31549101053971
2005,5.77055813367122
2006,6.04997266264832
2007,4.34964506018301
2008,4.14988668660995
2009,5.50298695848448
2010,7.49688597962595
2011,6.4807667406004
2012,7.51583724184049
2013,7.98404094128392
2014,11.2058152772073
2015,11.1787100908889
2016,9.81280254474036
2017,10.642988781079
2018,12.6915888581496
2019,15.2086255711844
2020,22.9790072609688
2021,27.1602920462379
2022,22.7621227874971
2023,21.6141314544414
2024,21.9990433005617
2025,
