year,BX.TRF.PWKR.CD.DT
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,345200.3598
1979,492476.2845
1980,390921.8907
1981,289367.497
1982,187813.1032
1983,701136.1122
1984,
1985,
1986,
1987,
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,54069839.2743908
2004,60748749.1709703
2005,59304087.5437293
2006,63773517.3418823
2007,55662540.3698082
2008,64811558.9717228
2009,79801153.1264915
2010,115699060.997021
2011,91358953.7745976
2012,106349453.092419
2013,109829221.954619
2014,137771209.405021
2015,154062367.652957
2016,145678794.701272
2017,160167345.280047
2018,212034736.09746
2019,275825107.455024
2020,416418880.667872
2021,547051423.801967
2022,501844380.374608
2023,514905280.337869
2024,529052514.703634
2025,
